Disease Mesh ID	Name	isCommon
MESH:C538288	10p Deletion Syndrome (Partial)	True
MESH:C535484	13q deletion syndrome	True
MESH:C579849	15q24 Microdeletion	True
MESH:C579850	16p11.2 Deletion Syndrome	True
MESH:C567076	17,20-Lyase Deficiency, Isolated	True
MESH:C537805	17-Hydroxysteroid Dehydrogenase Deficiency	True
MESH:C537806	18-Hydroxylase deficiency	True
MESH:D058165	22q11 Deletion Syndrome	True
MESH:C565624	2,4-Dienoyl-CoA Reductase Deficiency	True
MESH:C535305	2-hydroxyethyl methacrylate sensitization	True
MESH:C535306	2-Hydroxyglutaricaciduria	True
MESH:C535307	2-Methylacetoacetyl CoA thiolase deficiency	True
MESH:C566487	2-Methylbutyryl-CoA Dehydrogenase Deficiency	True
MESH:C579862	3b-Hydroxysteroid Dehydrogenase Deficiency	True
MESH:C535313	3C syndrome	True
MESH:C538324	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	True
MESH:C567784	3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency	True
MESH:C535310	3-Hydroxyacyl-CoA Dehydrogenase Deficiency	True
MESH:C535312	3-Hydroxyisobutyric aciduria	True
MESH:C535308	3-methylcrotonyl CoA carboxylase 1 deficiency	True
MESH:C535309	3-methylcrotonyl CoA carboxylase 2 deficiency	True
MESH:C579867	3-Methylglutaconic Aciduria	True
MESH:C562801	3-Methylglutaconic Aciduria, Type I	True
MESH:C565393	3-Methylglutaconic Aciduria Type IV	True
MESH:C565706	3-Methylglutaconic Aciduria, Type V	True
MESH:D058489	46, XX Disorders of Sex Development	True
MESH:C535316	46,XX Gonadal dysgenesis epibulbar dermoid	True
MESH:C567597	46,Xx Gonadal Dysgenesis, Partial Or Complete, Autosomal	True
MESH:D058531	46, XX Testicular Disorders of Sex Development	True
MESH:D058490	46, XY Disorders of Sex Development	True
MESH:C536769	46, XY female	True
MESH:C565537	46,XY Gonadal Dysgenesis, Complete or Partial, DHH-Related	True
MESH:C567574	46,Xy Gonadal Dysgenesis, Complete, Sry-Related	True
MESH:C567773	46,Xy Gonadal Dysgenesis, Partial, With Minifascicular Neuropathy	True
MESH:C567887	46,XY Sex Reversal 4	True
MESH:C567766	46, XY Sex Reversal 5	True
MESH:C567575	46,Xy True Hermaphroditism, Sry-Related	True
MESH:C535317	47, XYY syndrome	True
MESH:C535319	49,XXXXX syndrome	True
MESH:C535315	4-hydroxyphenylacetic aciduria	True
MESH:C531667	5 alpha Fluorouracil toxicity	True
MESH:C535321	5-Nucleotidase syndrome	True
MESH:C535322	5-oxoprolinase deficiency	True
MESH:C566803	6-Phosphogluconolactonase Deficiency	True
MESH:C535325	6-pyruvoyl-tetrahydropterin synthase deficiency	True
MESH:C579872	6q24-Related Transient Neonatal Diabetes Mellitus	True
MESH:C537810	6q+ Syndrome, Partial	True
MESH:C537818	7p2 monosomy syndrome	True
MESH:C579873	9q22.3 Microdeletion	True
MESH:C535330	Aagenaes syndrome	True
MESH:C535331	Aarskog Syndrome	True
MESH:C535332	Aase Smith syndrome	True
MESH:C538442	Aase Smith syndrome 2	True
MESH:C579754	abc disease	True
MESH:C535334	ABCD syndrome	True
MESH:C535335	Abderhalden-Kaufmann-Lignac syndrome	True
MESH:D000006	Abdomen, Acute	True
MESH:D018784	Abdominal Abscess	True
MESH:C535552	Abdominal chemodectomas with cutaneous angiolipomas	True
MESH:C535553	Abdominal cystic lymphangioma	True
MESH:D000007	Abdominal Injuries	True
MESH:D000008	Abdominal Neoplasms	True
MESH:C535554	Abdominal obesity metabolic syndrome	True
MESH:D015746	Abdominal Pain	True
MESH:D020434	Abducens Nerve Diseases	True
MESH:D020222	Abducens Nerve Injury	True
MESH:C564661	Abducens Palsy	True
MESH:D058739	Aberrant Crypt Foci	True
MESH:C535555	Aberrant subclavian artery	True
MESH:D000012	Abetalipoproteinemia	True
MESH:C540309	Abetalipoproteinemia neuropathy	True
MESH:C535556	Abidi X-linked mental retardation syndrome	True
MESH:C535557	Ablepharon macrostomia syndrome	True
MESH:C536375	Abnormal fusion of dental cementum with alveolar bone	True
MESH:D000014	Abnormalities, Drug-Induced	True
MESH:D000015	Abnormalities, Multiple	True
MESH:D000016	Abnormalities, Radiation-Induced	True
MESH:D009008	Abnormalities, Severe Teratoid	True
MESH:D059786	Abnormal Karyotype	True
MESH:D000026	Abortion, Habitual	True
MESH:D000027	Abortion, Incomplete	True
MESH:D000030	Abortion, Missed	True
MESH:D000031	Abortion, Septic	True
MESH:D000022	Abortion, Spontaneous	True
MESH:D000033	Abortion, Threatened	True
MESH:D000034	Abortion, Veterinary	True
MESH:C535558	Abrikosov's tumor	True
MESH:D000037	Abruptio Placentae	True
MESH:C535559	Abruzzo Erickson syndrome	True
MESH:D000038	Abscess	True
MESH:C535562	Absence of septum pellucidum	True
MESH:C535563	Absence of Tibia	True
MESH:C535564	Absence of tibia with polydactyly	True
MESH:C535565	Absent breasts and nipples	True
MESH:C535566	Absent corpus callosum cataract immunodeficiency	True
MESH:C535567	Absent duct of Santorini	True
MESH:C563111	Absent Eyebrows and Eyelashes with Mental Retardation	True
MESH:C535568	Absent patella	True
MESH:C536940	Absent radii and thrombocytopenia	True
MESH:C535569	Abuse dwarfism syndrome	True
MESH:D042101	Acalculous Cholecystitis	True
MESH:C535570	Acalvaria	True
MESH:D015823	Acanthamoeba Keratitis	True
MESH:D063485	Acanthocheilonemiasis	True
MESH:D000051	Acantholysis	True
MESH:D049309	Acanthoma	True
MESH:D000052	Acanthosis Nigricans	True
MESH:C536000	Acanthosis nigricans muscle cramps acral enlargement	True
MESH:D020642	Acatalasia	True
MESH:D016170	Accelerated Idioventricular Rhythm	True
MESH:D058606	Accessory Atrioventricular Bundle	True
MESH:C536001	Accessory deep peroneal nerve	True
MESH:C536002	Accessory navicular bone	True
MESH:D020436	Accessory Nerve Diseases	True
MESH:D061227	Accessory Nerve Injuries	True
MESH:C536003	Accessory pancreas	True
MESH:C535670	Accutane embryopathy	True
MESH:C536006	Acetylcarnitine deficiency	True
MESH:C562678	Acetyl-Coa Carboxylase Deficiency	True
MESH:C536008	Achalasia Addisonianism Alacrimia syndrome	True
MESH:C536011	Achalasia, familial esophageal	True
MESH:C536010	Achalasia microcephaly	True
MESH:C536012	Achard syndrome	True
MESH:C536013	Achard-Thiers syndrome	True
MESH:C536014	Acheiropodia	True
MESH:D000126	Achlorhydria	True
MESH:C566750	Acholinesterasemia	True
MESH:C579878	Achondrogenesis	True
