DrugBank ID	Name	isCommon
DB00001	Lepirudin	True
DB00002	Cetuximab	True
DB00003	Dornase alfa	True
DB00004	Denileukin diftitox	True
DB00005	Etanercept	True
DB00006	Bivalirudin	True
DB00007	Leuprolide	True
DB00008	Peginterferon alfa-2a	True
DB00009	Alteplase	True
DB00010	Sermorelin	True
DB00011	Interferon alfa-n1	True
DB00012	Darbepoetin alfa	True
DB00013	Urokinase	True
DB00014	Goserelin	True
DB00015	Reteplase	True
DB00016	Erythropoietin	True
DB00017	Salmon calcitonin	True
DB00018	Interferon alfa-n3	True
DB00019	Pegfilgrastim	True
DB00020	Sargramostim	True
DB00022	Peginterferon alfa-2b	True
DB00023	Asparaginase Escherichia coli	True
DB00024	Thyrotropin alfa	True
DB00025	Antihemophilic factor, human recombinant	True
DB00026	Anakinra	True
DB00027	Gramicidin D	True
DB00028	Human immunoglobulin G	True
DB00029	Anistreplase	True
DB00030	Insulin human	True
DB00031	Tenecteplase	True
DB00032	Menotropins	True
DB00033	Interferon gamma-1b	True
DB00034	Interferon alfa-2a	True
DB00035	Desmopressin	True
DB00036	Coagulation factor VIIa Recombinant Human	True
DB00038	Oprelvekin	True
DB00039	Palifermin	True
DB00040	Glucagon	True
DB00041	Aldesleukin	True
DB00042	Botulinum toxin type B	True
DB00043	Omalizumab	True
DB00044	Lutropin alfa	True
DB00045	Lyme disease vaccine (recombinant OspA)	True
DB00046	Insulin lispro	True
DB00047	Insulin glargine	True
DB00048	Collagenase clostridium histolyticum	True
DB00049	Rasburicase	True
DB00050	Cetrorelix	True
DB00051	Adalimumab	True
DB00052	Somatotropin	True
DB00053	Imiglucerase	True
DB00054	Abciximab	True
DB00055	Drotrecogin alfa	True
DB00056	Gemtuzumab ozogamicin	True
DB00057	Indium In-111 satumomab pendetide	True
DB00058	Alpha-1-proteinase inhibitor	True
DB00059	Pegaspargase	True
DB00060	Interferon beta-1a	True
DB00061	Pegademase	True
DB00062	Albumin human	True
DB00063	Eptifibatide	True
DB00065	Infliximab	True
DB00066	Follitropin	True
DB00067	Vasopressin	True
DB00068	Interferon beta-1b	True
DB00069	Interferon alfacon-1	True
DB00070	Hyaluronidase (ovine)	True
DB00071	Insulin pork	True
DB00072	Trastuzumab	True
DB00073	Rituximab	True
DB00074	Basiliximab	True
DB00075	Muromonab	True
DB00076	Digoxin Immune Fab (Ovine)	True
DB00078	Ibritumomab tiuxetan	True
DB00080	Daptomycin	True
DB00081	Tositumomab	True
DB00082	Pegvisomant	True
DB00083	Botulinum toxin type A	True
DB00085	Pancrelipase	True
DB00086	Streptokinase	True
DB00087	Alemtuzumab	True
DB00088	Alglucerase	True
DB00089	Capromab pendetide	True
DB00090	Laronidase	True
DB00091	Cyclosporine	True
DB00092	Alefacept	True
DB00093	Felypressin	True
DB00094	Urofollitropin	True
DB00095	Efalizumab	True
DB00097	Choriogonadotropin alfa	True
DB00098	Antithymocyte immunoglobulin (rabbit)	True
DB00099	Filgrastim	True
DB00100	Coagulation Factor IX (Recombinant)	True
DB00102	Becaplermin	True
DB00103	Agalsidase beta	True
DB00104	Octreotide	True
DB00105	Interferon alfa-2b	True
DB00106	Abarelix	True
DB00107	Oxytocin	True
DB00108	Natalizumab	True
